CoinID,Year,CoinType,Nation
467,2002,10cent,French
468,2002,10cent,French
469,2002,10cent,French
470,2002,10cent,French
471,2002,10cent,French
472,2002,20cent,French
473,2002,20cent,French
474,2002,20cent,French
475,2002,50cent,French
476,2002,1euro,French
477,2002,1cent,French
478,2002,1cent,French
479,2002,1cent,French
480,2002,5cent,French
481,2002,5cent,French
482,2002,2cent,French
483,2002,2cent,French
484,2002,2cent,French
485,2002,5cent,French
486,2002,5cent,French
487,2002,5cent,French
488,2002,10cent,French
489,2002,10cent,French
490,2002,20cent,French
491,2002,20cent,French
492,2002,20cent,French
493,2002,50cent,French
494,2002,2cent,French
495,2002,2cent,French
496,2002,5cent,French
497,2002,10cent,French
498,2002,10cent,French
499,2002,20cent,French
500,2002,20cent,French
501,2002,50cent,French
502,2002,50cent,French
503,2002,1euro,French
504,2002,1euro,French
505,2002,2euro,French
506,2002,1cent,French
507,2002,2cent,French
508,2002,2cent,French
509,2002,2cent,French
510,2002,5cent,French
511,2002,5cent,French
512,2002,10cent,French
513,2002,10cent,French
514,2002,20cent,French
515,2002,2euro,French
516,2002,1cent,French
517,2002,10cent,French
518,2002,10cent,French
519,2002,10cent,French
520,2002,10cent,French
521,2002,10cent,French
522,2002,10cent,French
523,2002,1euro,French
524,2002,2euro,French
525,2002,1cent,French
526,2002,10cent,French
527,2002,10cent,French
528,2002,20cent,French
529,2002,20cent,French
530,2002,50cent,French
531,2002,50cent,French
532,2002,1euro,French
533,2002,2euro,French
534,2002,2euro,French
535,2002,2euro,French
536,2002,1cent,French
537,2002,1cent,French
538,2002,1cent,French
539,2002,1cent,French
540,2002,1cent,French
541,2002,1cent,French
542,2002,5cent,French
543,2002,5cent,French
544,2002,5cent,French
545,2002,5cent,French
546,2002,5cent,French
547,2002,5cent,French
548,2002,5cent,French
549,2002,5cent,French
550,2002,5cent,French
551,2002,5cent,French
552,2002,20cent,French
553,2002,20cent,French
554,2002,1cent,French
555,2002,1cent,French
556,2002,1cent,French
557,2002,1cent,French
558,2002,1cent,French
559,2002,2cent,French
560,2002,2cent,French
561,2002,5cent,French
562,2002,5cent,French
563,2002,5cent,French
564,2002,5cent,French
565,2002,10cent,French
566,2002,10cent,French
567,2002,10cent,French
568,2002,1euro,French
569,2002,2euro,French
570,2002,2euro,French
571,2002,2euro,French
572,2002,1cent,French
573,2002,1cent,French
574,2002,2cent,French
575,2002,2cent,French
576,2002,2cent,French
577,2002,2cent,French
578,2002,2cent,French
579,2002,2cent,French
580,2002,5cent,French
581,2002,5cent,French
582,2002,5cent,French
583,2002,10cent,French
584,2002,20cent,French
585,2002,20cent,French
586,2002,20cent,French
587,2002,1euro,French
588,2002,1euro,French
589,2002,2euro,French
590,2002,1cent,French
591,2002,1cent,French
592,2002,1cent,French
593,2002,1cent,French
594,2002,1cent,French
595,2002,1cent,French
596,2002,1cent,French
597,2002,2cent,French
598,2002,2cent,French
599,2002,1cent,French
600,2002,1cent,French
601,2002,2cent,French
602,2002,2cent,French
603,2002,2cent,French
604,2002,5cent,French
605,2002,5cent,French
606,2002,5cent,French
607,2002,10cent,French
608,2002,10cent,French
609,2002,10cent,French
610,2002,10cent,French
611,2002,20cent,French
612,2002,20cent,French
613,2002,20cent,French
614,2002,20cent,French
615,2002,2euro,French
616,2002,1cent,French
617,2002,1cent,French
618,2002,1cent,French
619,2002,1cent,French
620,2002,1cent,French
621,2002,1cent,French
622,2002,1cent,French
623,2002,2cent,French
624,2002,2cent,French
625,2002,2cent,French
626,2002,5cent,French
627,2002,5cent,French
628,2002,5cent,French
629,2002,5cent,French
630,2002,5cent,French
631,2002,10cent,French
632,2002,10cent,French
633,2002,10cent,French
634,2002,10cent,French
635,2002,20cent,French
636,2002,20cent,French
637,2002,20cent,French
638,2002,20cent,French
639,2002,20cent,French
640,2002,20cent,French
641,2002,20cent,French
642,2002,20cent,French
643,2002,20cent,French
644,2002,20cent,French
645,2002,1euro,French
646,2002,1euro,French
647,2002,2euro,French
648,2002,1cent,French
649,2002,1cent,French
650,2002,1cent,French
651,2002,5cent,French
652,2002,5cent,French
653,2002,5cent,French
654,2002,10cent,French
655,2002,10cent,French
